gameid,url,league,split,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,"team kpm",ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,"dragons (type unknown)",elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,"earned gpm",earnedgoldshare,goldspent,gspd,"total cs",minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 09:24:16",1,10.11,1,Blue,top,Aodi,"EDward Gaming",Aatrox,Karma,Ornn,Galio,Thresh,Pantheon,2092,1,1,1,10,21,5,NULL,NULL,0,0,NULL,0,NULL,NULL,0.6023,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18230,522.8489,0.235007,17,0.4876,5,0.1434,9,NULL,NULL,13130,8587,246.2811,0.184881,NULL,NULL,268,252,16,3,4,7.6864,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 09:24:16",1,10.11,2,Blue,jng,JunJia,"EDward Gaming",Nidalee,Karma,Ornn,Galio,Thresh,Pantheon,2092,1,5,0,11,21,5,NULL,NULL,0,0,NULL,0,NULL,NULL,0.6023,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14428,413.8050,0.185995,48,1.3767,25,0.7170,11,NULL,NULL,13315,8772,251.5870,0.188864,NULL,NULL,232,31,201,116,35,6.6539,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 09:24:16",1,10.11,3,Blue,mid,Scout,"EDward Gaming",Syndra,Karma,Ornn,Galio,Thresh,Pantheon,2092,1,2,2,11,21,5,NULL,NULL,0,0,NULL,0,NULL,NULL,0.6023,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17642,505.9847,0.227427,9,0.2581,7,0.2008,6,NULL,NULL,14137,9594,275.1625,0.206563,NULL,NULL,307,276,31,21,5,8.8050,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 09:24:16",1,10.11,4,Blue,bot,Hope,"EDward Gaming",Kalista,Karma,Ornn,Galio,Thresh,Pantheon,2092,1,10,1,6,21,5,NULL,NULL,0,0,NULL,0,NULL,NULL,0.6023,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16497,473.1453,0.212667,9,0.2581,16,0.4589,1,NULL,NULL,18466,13923,399.3212,0.29977,NULL,NULL,336,298,38,28,6,9.6367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 09:24:16",1,10.11,5,Blue,sup,Meiko,"EDward Gaming",Sett,Karma,Ornn,Galio,Thresh,Pantheon,2092,1,3,1,12,21,5,NULL,NULL,0,0,NULL,0,NULL,NULL,0.6023,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10775,309.0344,0.138903,65,1.8642,17,0.4876,21,NULL,NULL,10113,5570,159.7514,0.119922,NULL,NULL,39,39,0,0,0,1.1185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 09:24:16",1,10.11,6,Red,top,Morgan,"Team WE",Renekton,Varus,Graves,Trundle,Azir,Irelia,2092,0,1,5,4,5,21,NULL,NULL,0,0,NULL,0,NULL,NULL,0.1434,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12729,365.0765,0.208706,9,0.2581,16,0.4589,5,NULL,NULL,13257,8714,249.9235,0.264842,NULL,NULL,306,302,4,4,0,8.7763,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 09:24:16",1,10.11,7,Red,jng,beishang,"Team WE",Elise,Varus,Graves,Trundle,Azir,Irelia,2092,0,2,3,2,5,21,NULL,NULL,0,0,NULL,1,NULL,NULL,0.1434,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7793,223.5086,0.127775,16,0.4589,11,0.3155,17,NULL,NULL,10508,5965,171.0803,0.18129,NULL,NULL,168,22,146,102,8,4.8184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 09:24:16",1,10.11,8,Red,mid,Teacherma,"Team WE","Aurelion Sol",Varus,Graves,Trundle,Azir,Irelia,2092,0,1,3,1,5,21,NULL,NULL,0,0,NULL,0,NULL,NULL,0.1434,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8418,241.4340,0.138023,15,0.4302,3,0.0860,8,NULL,NULL,11595,7052,202.2562,0.214328,NULL,NULL,266,239,27,18,0,7.6291,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 09:24:16",1,10.11,9,Red,bot,Jiumeng,"Team WE",Aphelios,Varus,Graves,Trundle,Azir,Irelia,2092,0,1,4,2,5,21,NULL,NULL,0,0,NULL,0,NULL,NULL,0.1434,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27058,776.0421,0.443646,12,0.3442,18,0.5163,4,NULL,NULL,13327,8784,251.9312,0.266969,NULL,NULL,330,299,31,25,0,9.4646,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 09:24:16",1,10.11,10,Red,sup,Missing,"Team WE",Nautilus,Varus,Graves,Trundle,Azir,Irelia,2092,0,0,6,2,5,21,NULL,NULL,0,0,NULL,0,NULL,NULL,0.1434,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4992,143.1740,0.0818495,70,2.0076,9,0.2581,17,NULL,NULL,6931,2388,68.4895,0.0725715,NULL,NULL,45,45,0,0,0,1.2906,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 09:24:16",1,10.11,100,Blue,team,,"EDward Gaming",,Karma,Ornn,Galio,Thresh,Pantheon,2092,1,21,5,50,21,5,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0.6023,0.7457,NULL,4,1,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,2,0,0,9,2,NULL,NULL,NULL,NULL,77572,2224.8184,NULL,148,4.2447,70,2.0076,48,NULL,NULL,69161,46445,1332.0746,NULL,NULL,NULL,1182,896,286,168,50,33.9006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 09:24:16",1,10.11,200,Red,team,,"Team WE",,Varus,Graves,Trundle,Azir,Irelia,2092,0,5,21,11,5,21,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0.1434,0.7457,NULL,1,4,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,0,2,1,2,9,NULL,NULL,NULL,NULL,60990,1749.2352,NULL,122,3.4990,57,1.6348,51,NULL,NULL,55618,32902,943.6520,NULL,NULL,NULL,1115,907,208,149,8,31.9790,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7808,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 10:18:30",2,10.11,1,Blue,top,Aodi,"EDward Gaming",Aatrox,Karma,Ornn,Galio,Thresh,Nautilus,2009,0,3,5,5,22,26,NULL,NULL,0,0,NULL,1,NULL,NULL,0.6570,1.4335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15123,451.6575,0.168256,19,0.5674,7,0.2091,8,NULL,NULL,11609,7235,216.0777,0.196315,NULL,NULL,232,213,19,4,0,6.9288,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7808,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 10:18:30",2,10.11,2,Blue,jng,JunJia,"EDward Gaming",Nidalee,Karma,Ornn,Galio,Thresh,Nautilus,2009,0,10,5,7,22,26,NULL,NULL,0,0,NULL,0,NULL,NULL,0.6570,1.4335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17785,531.1598,0.197873,34,1.0154,17,0.5077,7,NULL,NULL,12792,8418,251.4087,0.228415,NULL,NULL,195,27,168,101,21,5.8238,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7808,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 10:18:30",2,10.11,3,Blue,mid,Scout,"EDward Gaming",Rumble,Karma,Ornn,Galio,Thresh,Nautilus,2009,0,6,6,12,22,26,NULL,NULL,0,0,NULL,0,NULL,NULL,0.6570,1.4335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27778,829.6068,0.309053,22,0.6570,3,0.0896,7,NULL,NULL,12666,8292,247.6456,0.224996,NULL,NULL,195,181,14,8,0,5.8238,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7808,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 10:18:30",2,10.11,4,Blue,bot,Hope,"EDward Gaming",Kalista,Karma,Ornn,Galio,Thresh,Nautilus,2009,0,3,5,8,22,26,NULL,NULL,0,0,NULL,0,NULL,NULL,0.6570,1.4335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17434,520.6770,0.193968,12,0.3584,14,0.4181,5,NULL,NULL,13347,8973,267.9841,0.243474,NULL,NULL,300,277,23,18,1,8.9597,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7808,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 10:18:30",2,10.11,5,Blue,sup,Meiko,"EDward Gaming",Sett,Karma,Ornn,Galio,Thresh,Nautilus,2009,0,0,5,15,22,26,NULL,NULL,0,0,NULL,0,NULL,NULL,0.6570,1.4335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11761,351.2494,0.130851,45,1.3440,16,0.4778,19,NULL,NULL,8310,3936,117.5510,0.1068,NULL,NULL,45,45,0,0,0,1.3440,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7808,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 10:18:30",2,10.11,6,Red,top,Morgan,"Team WE",Renekton,Varus,Graves,Trundle,Azir,Syndra,2009,1,6,1,14,26,22,NULL,NULL,0,0,NULL,0,NULL,NULL,0.7765,1.4335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19582,584.8283,0.226712,8,0.2389,13,0.3883,3,NULL,NULL,14892,10518,314.1264,0.237212,NULL,NULL,257,241,16,8,4,7.6755,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7808,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 10:18:30",2,10.11,7,Red,jng,beishang,"Team WE","Lee Sin",Varus,Graves,Trundle,Azir,Syndra,2009,1,4,4,15,26,22,NULL,NULL,0,0,NULL,0,NULL,NULL,0.7765,1.4335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13582,405.6346,0.157246,18,0.5376,12,0.3584,14,NULL,NULL,12056,7682,229.4276,0.173252,NULL,NULL,182,23,159,98,34,5.4355,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7808,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 10:18:30",2,10.11,8,Red,mid,Teacherma,"Team WE","Aurelion Sol",Varus,Graves,Trundle,Azir,Syndra,2009,1,8,6,11,26,22,NULL,NULL,0,0,NULL,0,NULL,NULL,0.7765,1.4335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24900,743.6536,0.288281,12,0.3584,7,0.2091,5,NULL,NULL,15070,10696,319.4425,0.241227,NULL,NULL,287,264,23,23,0,8.5714,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7808,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 10:18:30",2,10.11,9,Red,bot,Jiumeng,"Team WE",Aphelios,Varus,Graves,Trundle,Azir,Syndra,2009,1,8,5,12,26,22,NULL,NULL,0,0,NULL,0,NULL,NULL,0.7765,1.4335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21454,640.7367,0.248385,14,0.4181,7,0.2091,7,NULL,NULL,15542,11168,333.5391,0.251872,NULL,NULL,290,245,45,33,0,8.6610,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7808,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 10:18:30",2,10.11,10,Red,sup,Missing,"Team WE",Leona,Varus,Graves,Trundle,Azir,Syndra,2009,1,0,6,18,26,22,NULL,NULL,0,0,NULL,0,NULL,NULL,0.7765,1.4335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6856,204.7586,0.0793757,66,1.9711,18,0.5376,15,NULL,NULL,8650,4276,127.7053,0.0964371,NULL,NULL,55,55,0,0,0,1.6426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7808,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 10:18:30",2,10.11,100,Blue,team,,"EDward Gaming",,Karma,Ornn,Galio,Thresh,Nautilus,2009,0,22,26,47,22,26,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0.6570,1.4335,NULL,3,2,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,0,1,1,3,9,NULL,NULL,NULL,NULL,89881,2684.3504,NULL,132,3.9423,57,1.7023,46,NULL,NULL,58724,36854,1100.6670,NULL,NULL,NULL,967,743,224,131,22,28.8800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7808,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 10:18:30",2,10.11,200,Red,team,,"Team WE",,Varus,Graves,Trundle,Azir,Syndra,2009,1,26,22,70,26,22,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0.7765,1.4335,NULL,2,3,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,9,3,NULL,NULL,NULL,NULL,86374,2579.6117,NULL,118,3.5241,57,1.7023,44,NULL,NULL,66210,44340,1324.2409,NULL,NULL,NULL,1071,828,243,162,38,31.9861,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7809,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 11:10:57",3,10.11,1,Blue,top,Aodi,"EDward Gaming",Aatrox,Karma,Ornn,Aphelios,Ezreal,Kai'Sa,1823,0,1,5,3,7,17,NULL,NULL,0,0,NULL,0,NULL,NULL,0.2304,0.7899,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12321,405.5184,0.205906,14,0.4608,1,0.0329,6,NULL,NULL,9743,5748,189.1827,0.210958,NULL,NULL,216,195,21,12,0,7.1092,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7809,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 11:10:57",3,10.11,2,Blue,jng,Jiejie,"EDward Gaming","Lee Sin",Karma,Ornn,Aphelios,Ezreal,Kai'Sa,1823,0,2,4,2,7,17,NULL,NULL,0,0,NULL,0,NULL,NULL,0.2304,0.7899,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7101,233.7137,0.11867,16,0.5266,5,0.1646,9,NULL,NULL,8448,4453,146.5606,0.163434,NULL,NULL,135,27,108,82,4,4.4432,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7809,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 11:10:57",3,10.11,3,Blue,mid,Scout,"EDward Gaming",Syndra,Karma,Ornn,Aphelios,Ezreal,Kai'Sa,1823,0,2,2,2,7,17,NULL,NULL,0,0,NULL,0,NULL,NULL,0.2304,0.7899,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23720,780.6912,0.396404,8,0.2633,7,0.2304,6,NULL,NULL,11489,7494,246.6484,0.275033,NULL,NULL,284,264,20,18,0,9.3472,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7809,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 11:10:57",3,10.11,4,Blue,bot,Hope,"EDward Gaming",Kalista,Karma,Ornn,Aphelios,Ezreal,Kai'Sa,1823,0,2,4,1,7,17,NULL,NULL,0,0,NULL,1,NULL,NULL,0.2304,0.7899,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12756,419.8354,0.213176,14,0.4608,11,0.3620,9,NULL,NULL,11119,7124,234.4707,0.261455,NULL,NULL,247,234,13,13,0,8.1295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7809,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 11:10:57",3,10.11,5,Blue,sup,Meiko,"EDward Gaming",Thresh,Karma,Ornn,Aphelios,Ezreal,Kai'Sa,1823,0,0,2,5,7,17,NULL,NULL,0,0,NULL,0,NULL,NULL,0.2304,0.7899,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3940,129.6764,0.0658444,57,1.8760,6,0.1975,21,NULL,NULL,6423,2428,79.9122,0.0891205,NULL,NULL,26,26,0,0,0,0.8557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7809,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 11:10:57",3,10.11,6,Red,top,Morgan,"Team WE",Renekton,Varus,Graves,Azir,Mordekaiser,Wukong,1823,1,1,1,8,17,7,NULL,NULL,0,0,NULL,0,NULL,NULL,0.5595,0.7899,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6719,221.1410,0.129538,8,0.2633,8,0.2633,4,NULL,NULL,11961,7966,262.1832,0.210362,NULL,NULL,242,220,22,5,1,7.9649,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7809,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 11:10:57",3,10.11,7,Red,jng,beishang,"Team WE",Trundle,Varus,Graves,Azir,Mordekaiser,Wukong,1823,1,4,2,8,17,7,NULL,NULL,0,0,NULL,0,NULL,NULL,0.5595,0.7899,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6204,204.1909,0.119609,11,0.3620,7,0.2304,10,NULL,NULL,11354,7359,242.2052,0.194333,NULL,NULL,161,32,129,81,4,5.2990,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7809,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,"2020-06-05 11:10:57",3,10.11,8,Red,mid,Teacherma,"Team WE",Galio,Varus,Graves,Azir,Mordekaiser,Wukong,1823,1,8,1,8,17,7,NULL,NULL,0,0,NULL,0,NULL,NULL,0.5595,0.7899,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14441,475.2935,0.278413,8,0.2633,3,0.0987,6,NULL,NULL,13715,9720,319.9122,0.256678,NULL,NULL,246,220,26,18,7,8.0965,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
